BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
,40.8518,-73.909225,21,4,9,0,0,Driver Inattention/Distraction,Sedan,0
MANHATTAN,40.7161833,-73.9807441,10,3,8,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.806469,-73.946438,21,6,3,1,0,Failure to Yield Right-of-Way,TAXI,0
,40.726604,-73.789116,17,3,3,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
,40.67187,-73.95464,15,2,12,0,0,Passenger Distraction,Sedan,1
QUEENS,40.7354974,-73.8697016,19,0,8,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.7602226,-73.967462,21,2,11,0,0,Failure to Yield Right-of-Way,TAXI,1
MANHATTAN,40.762913,-73.96981,12,0,2,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
,40.679108,-73.88062,14,0,2,0,0,Unspecified,,0
MANHATTAN,40.77918,-73.9508,16,6,9,1,1,Driver Inattention/Distraction,Sedan,1
BROOKLYN,40.5962324,-73.9381878,14,2,2,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
QUEENS,40.7183186,-73.7917313,19,5,1,1,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0
QUEENS,40.745796,-73.88535,18,4,1,0,1,Failure to Yield Right-of-Way,Taxi,0
MANHATTAN,40.769062,-73.96112,15,6,6,1,0,Traffic Control Disregarded,Taxi,1
BROOKLYN,40.699764,-73.935905,19,4,5,0,0,View Obstructed/Limited,4 dr sedan,0
BROOKLYN,40.5781185,-73.9416569,18,3,3,0,1,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,1
,40.663517,-73.957214,17,3,11,0,1,Failure to Yield Right-of-Way,Bike,1
QUEENS,40.685772,-73.81819,6,2,11,0,0,Turning Improperly,Sedan,0
MANHATTAN,40.7143839,-74.0101291,12,0,10,0,0,Lost Consciousness,PASSENGER VEHICLE,1
MANHATTAN,40.764427,-73.9645,21,6,2,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
,40.67941,-73.756546,20,2,4,0,0,Driver Inattention/Distraction,Sedan,1
QUEENS,40.730465,-73.815025,19,2,8,0,0,,,0
QUEENS,40.73251,-73.857056,21,1,10,0,0,Traffic Control Disregarded,Sedan,1
,40.72049,-73.98533,14,3,6,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.67057,-73.95758,22,4,9,0,0,Other Vehicular,Bike,0
BRONX,40.8484564,-73.8554669,14,3,9,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.68144,-73.83865,7,6,4,1,1,Backing Unsafely,Sedan,0
,40.83022,-73.94769,19,1,9,0,0,Driver Inattention/Distraction,E-Bike,1
MANHATTAN,40.800556,-73.94021,10,2,11,0,0,Unspecified,Sedan,0
,40.699596,-73.95714,9,2,10,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BRONX,40.857662,-73.89354,18,0,6,0,1,Passing Too Closely,Bike,1
BROOKLYN,40.6047776,-73.9771065,15,0,6,0,0,Outside Car Distraction,LARGE COM VEH(6 OR MORE TIRES),0
QUEENS,40.753563,-73.794586,14,1,12,0,0,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.6798751,-73.8912153,19,3,9,0,0,Unspecified,UNKNOWN,0
BROOKLYN,40.60309,-73.99262,21,6,3,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,,,6,3,4,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.69608,-73.84167,14,5,11,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.6775904,-73.7447811,18,5,9,1,1,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.6695866,-73.9282607,14,1,6,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.599804,-73.94759,11,4,1,0,0,Failure to Yield Right-of-Way,Pick-up Truck,0
BRONX,40.81343,-73.91003,16,4,12,0,1,Unspecified,Sedan,0
BROOKLYN,40.6781165,-73.9078565,19,3,1,0,0,Unspecified,UNKNOWN,0
BROOKLYN,40.700123,-73.947136,8,2,10,0,1,Turning Improperly,Bike,1
BRONX,40.83466,-73.89151,16,4,1,0,1,View Obstructed/Limited,Pick-up Truck,0
,40.70722,-73.78957,17,3,7,0,1,Driver Inattention/Distraction,Sedan,0
BROOKLYN,40.656082,-73.953064,16,0,6,0,1,Failure to Yield Right-of-Way,,0
QUEENS,40.763126,-73.83125,13,2,7,0,0,Failure to Yield Right-of-Way,4 dr sedan,0
QUEENS,40.736046,-73.87277,17,4,4,0,1,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.661804,-73.903275,19,1,7,0,0,Backing Unsafely,Sedan,0
,40.699955,-73.98682,8,6,7,1,1,Traffic Control Disregarded,Bike,1
,40.804417,-73.955376,3,6,3,1,0,Driver Inattention/Distraction,Taxi,0
BROOKLYN,40.67619,-73.9081,0,5,9,1,0,Unspecified,Sedan,0
BROOKLYN,40.606327,-73.99646,15,5,4,1,0,Driver Inexperience,,0
BRONX,40.847027,-73.89807,8,4,11,0,1,Failure to Yield Right-of-Way,Sedan,0
,40.73072,-73.98906,10,3,4,0,0,Glare,4 dr sedan,0
BROOKLYN,40.621418,-73.92614,14,3,5,0,0,Turning Improperly,Sedan,0
BROOKLYN,40.70321,-73.94626,9,4,3,0,1,Turning Improperly,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7395,-73.98267,1,3,9,0,0,Aggressive Driving/Road Rage,Bike,1
BROOKLYN,40.6413948,-73.9890784,8,3,5,0,1,Unspecified,BUS,0
BROOKLYN,40.671738,-73.99134,0,5,11,1,0,Driver Inexperience,,0
QUEENS,40.741364,-73.92096,12,2,12,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
,40.841076,-73.93977,0,6,2,1,0,Failure to Yield Right-of-Way,Sedan,1
BRONX,40.8514695,-73.8955651,11,4,12,0,0,Backing Unsafely,PASSENGER VEHICLE,0
MANHATTAN,40.848038,-73.93285,9,2,8,0,1,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.79378,-73.945175,0,2,3,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
,40.720753,-74.01008,17,1,12,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BRONX,40.8221083,-73.9006117,7,4,10,0,1,Driver Inattention/Distraction,PASSENGER VEHICLE,0
QUEENS,40.710457,-73.87339,15,4,4,0,0,Failure to Yield Right-of-Way,Sedan,0
,40.621017,-74.13181,20,4,10,0,0,Traffic Control Disregarded,Sedan,1
BROOKLYN,40.60913,-73.95741,0,2,7,0,0,Driver Inattention/Distraction,Sedan,1
,,,8,2,4,0,1,Driver Inattention/Distraction,Sedan,1
BROOKLYN,40.651733,-73.93039,15,4,11,0,0,Driver Inattention/Distraction,Sedan,0
BRONX,40.862747,-73.90494,21,6,11,1,0,Failure to Yield Right-of-Way,Sedan,0
,40.716232,-73.996056,18,5,11,1,1,Unspecified,Bike,1
QUEENS,40.742672,-73.91005,20,5,4,1,0,Driver Inattention/Distraction,Pick-up Truck,0
MANHATTAN,40.849213,-73.9338,20,6,12,1,0,Turning Improperly,Taxi,1
BROOKLYN,40.68464,-73.87584,6,3,10,0,0,Failure to Yield Right-of-Way,Sedan,0
MANHATTAN,40.824665,-73.948044,3,0,8,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
,40.709023,-73.798195,6,2,5,0,0,Driver Inattention/Distraction,Pick-up Truck,0
